"","id","vf_age","vf_party","vf_racename","vf_female","vf_black","vf_white","vf_hispanic","vf_vg_14","vf_vg_12","vf_vg_10","vf_democrat","vf_republican","miami_trans_law_t0","miami_trans_law2_t0","gender_norm_daugher_t0","gender_norm_looks_t0","gender_norm_rights_t0","gender_norms_sexchange_t0","gender_norms_moral_t0","gender_norms_abnormal_t0","ssm_t0","therm_obama_t0","therm_gay_t0","therm_trans_t0","therm_marijuana_t0","therm_afams_t0","ideology_t0","religious_t0","respondent_t0","exposure_gay_t0","exposure_trans_t0","pid_t0","scale_for_blocking_t0","miami_trans_law_t1","miami_trans_law2_t1","therm_obama_t1","therm_trans_t1","therm_marijuana_t1","gender_norm_looks_t1","gender_norm_rights_t1","gender_norm_sexchange_t1","gender_norm_moral_t1","gender_norm_abnormal_t1","gender_norm_trans_moral_wrong_t1","respondent_t1","respondent_t2","respondent_t3","respondent_t4","contacted","survey_language_es","sdo_scale","treat_ind","cluster_level_t0_scale_mean","vf_independent","all.dvs.t1","trans.tolerance.dv.t0","trans.tolerance.dv.t1","miami_trans_law_t0_avg","miami_trans_law_t1_avg","gender_nonconformity_t0","gender_nonconformity_t1","treatment.delivered","t1.resid"
"66619",53765,64,"D","African American",1,1,0,0,1,1,1,1,0,0,0,0,0,0,-1,0,1,0,100,36,36,42,100,0,1,1,1,0,2,-0.218755483627319,0,0,100,30,40,-1,-1,-1,0,0,0,1,1,1,1,1,0,0.0162582490593195,0,-0.218755483627319,0,-0.73099500341302,-0.234590613433666,-0.462751893554274,0,0,0.547622133241092,-0.374804201368527,FALSE,-0.293687136099806
"66620",26821,57,"D","Caucasian",1,0,1,0,1,1,1,1,0,3,3,-1,0,0,1,0,2,2,83,100,80,9,100,1,0,1,1,0,3,1.15626442432404,1,2,50,59,0,-2,0,0,0,0,0,1,1,1,1,1,0,-0.722464382648468,0,1.15626442432404,0,-0.0109507309981211,1.04135083020063,-0.013573633544444,3,1.5,0.547622133241092,-0.323568146395015,FALSE,-1.1848857965802
"66624",23640,61,"N","Hispanic",0,0,0,1,1,0,0,0,0,3,2,-1,-1,-1,1,-1,1,2,9,50,50,50,85,0,0,1,1,0,-1,0.0905902534723282,3,3,50,50,50,-1,1,1,1,1,1,1,1,1,1,1,0,-0.202663913369179,0,0.0905902534723282,1,0.911452342486242,0.176728613179979,0.755395110181884,2.5,3,-0.413220837014379,0.610464974732174,FALSE,0.452890608290106
"66627",57383,82,"D","Hispanic",1,0,0,1,1,1,1,1,0,2,-1,0,-1,1,2,0,-1,-1,28,49,50,50,37,-1,5,1,0,0,3,-0.422684550285339,0,0,50,50,50,0,0,0,0,0,0,1,0,0,0,1,0,0.830534279346466,1,-0.541642665863037,0,-0.439186914966468,0.157100702380048,-0.0961481004795024,0.5,0,0.574406574027365,0.559228919758662,TRUE,-0.0768844448748852
"66632",14208,50,"D","African American",1,1,0,0,1,1,1,1,0,2,2,-1,-1,-1,0,1,1,1,91,50,50,0,100,0,2,1,1,0,2,0.261100769042969,2,2,90,81,50,1,0,1,1,1,1,1,1,1,1,1,0,-0.887037575244904,1,0.261100769042969,0,0.903750060101819,0.434715826967632,1.03981827406931,2,2,-0.413220837014379,1.0006274528355,TRUE,0.820036245617703
"66633",38956,58,"D","African American",1,1,0,0,0,1,0,1,0,2,3,-1,0,1,1,-1,0,0,100,50,50,50,100,0,5,1,1,0,2,-0.104924418032169,3,3,100,50,50,0,-2,0,0,-1,-2,1,1,1,1,1,0,1.12862813472748,0,-0.104924418032169,0,-0.215122450683236,-0.0871531025933965,-0.760621858135143,2.5,3,1.04143583876196,-0.426040256342039,FALSE,-0.890106970583966
"66637",32559,68,"R","Caucasian",1,0,1,0,0,1,0,0,1,3,3,-2,2,2,2,2,2,3,74,100,100,50,100,-1,5,1,1,0,-2,1.6520619392395,3,3,60,100,50,2,0,1,2,0,2,1,1,1,1,1,0,0.757544755935669,1,1.63949108123779,0,1.44245221337809,2.03510476672724,1.43793236099436,3,3,2.46930807375203,1.44202598591234,TRUE,-0.3754113302374
"66642",56471,28,"N","African American",1,1,0,0,0,1,0,0,0,-2,-2,0,-1,-1,-1,-1,-1,-2,100,15,14,50,78,0,1,1,1,0,0,-1.05914843082428,0,0,81,19,61,-2,-1,-1,-2,-1,-2,1,1,1,1,1,0,-0.726576924324036,1,-1.05914843082428,1,-1.63104308472557,-1.27099687785371,-1.67822869766943,-2,0,-0.413220837014379,-0.816202734445365,TRUE,-0.453103620374705
"66645",14848,58,"D","African American",1,1,0,0,1,0,0,1,0,2,3,0,0,1,0,1,0,3,50,50,50,50,50,2,0,1,0,1,3,0.252814114093781,2,2,50,50,50,1,0,1,1,1,1,1,1,1,1,1,0,1.37442350387573,0,0.636726140975952,0,0.673060275127777,0.170834111194257,0.755395110181884,2.5,2,1.04143583876196,1.0006274528355,FALSE,0.389651630489064
"66646",44547,22,"N","African American",0,1,0,0,1,0,0,0,0,3,3,0,2,2,2,2,2,3,50,50,50,50,50,0,0,1,1,1,0,1.02063810825348,3,3,50,50,61,1,0,2,1,2,2,1,1,1,1,1,0,0.447174578905106,0,0.636726140975952,1,1.38337605892134,1.45949433938982,1.3818989718516,3,3,2.46930807375203,1.0006274528355,FALSE,0.339362156333077
"66650",19868,40,"D","Hispanic",0,0,0,1,1,1,0,1,0,3,2,1,-1,0,1,1,1,3,100,80,60,60,89,0,0,1,1,1,2,0.739206731319427,0,0,50,50,50,0,0,0,0,0,0,1,1,1,1,1,0,-0.896892905235291,0,0.161447152495384,0,-0.439186914966468,0.802599188337112,-0.0961481004795024,2.5,0,0.0805928685064935,0.559228919758662,FALSE,-0.837070750894994
"66656",24523,25,"D","African American",1,1,0,0,0,1,1,1,0,3,3,0,0,0,0,0,0,1,50,51,50,50,49,0,0,1,1,1,2,0.145074188709259,2,3,50,50,50,-2,-2,0,0,0,0,1,1,1,1,1,0,-6.6307687118794e-10,0,0.145074188709259,0,0.160466882658202,-0.0845401336505679,-0.0961481004795024,3,2.5,0.547622133241092,-1.30883732249572,FALSE,-0.258150551015535
"66657",5242,23,"D","African American",1,1,0,0,0,1,0,1,0,-2,3,0,1,-2,-1,1,1,2,100,100,100,49,100,3,0,1,1,0,3,0.954482734203339,0,0,50,50,50,0,0,0,0,0,0,1,0,1,0,1,0,-0.856932401657104,1,0.954482734203339,0,-0.439186914966468,0.757564978403057,-0.0961481004795024,0.5,0,0.0270239869339474,0.559228919758662,TRUE,-0.796474634585015
"66659",22641,41,"D","African American",1,1,0,0,1,1,1,1,0,2,2,-2,-1,-1,1,1,-2,-3,100,21,50,50,90,0,2,1,1,1,3,-0.0622336752712727,2,2,100,65,92,0,-1,1,0,-1,1,1,0,1,1,1,0,-0.557232141494751,0,-0.0622336752712727,0,0.287577511966897,-0.104168044450498,0.223331852035167,2,2,-0.413220837014379,0.0665943317083116,FALSE,0.335215569704586
"66666",453,58,"N","Caucasian",1,0,1,0,1,1,1,0,0,0,0,-1,-1,-2,0,-2,0,-1,59,43,44,50,84,1,0,1,1,0,1,-0.445419549942017,0,1,66,50,50,-2,-2,0,-2,0,1,1,1,1,1,1,0,-0.763603746891022,1,-0.359344929456711,1,-0.481231939477638,-0.664361874620708,-0.325151924813383,0,0.5,-0.907034542535251,-1.30883732249572,TRUE,0.0699333707650935
"66668",48190,31,"D","African American",1,1,0,0,0,1,0,1,0,1,2,0,1,1,2,2,1,2,100,65,52,66,91,0,1,1,0,0,-2,0.723774075508118,-3,-2,96,78,50,1,0,1,0,-2,0,1,1,1,1,1,0,-0.0263628177344799,1,0.723774075508118,0,-1.01372003167456,1.21863704070995,-0.100792801953718,1.5,-2.5,1.50846510349656,1.0006274528355,TRUE,-0.79822445684445
"66670",3113,65,"D","African American",0,1,0,0,0,0,1,1,0,1,0,1,-1,-1,-1,-1,0,-1,100,77,66,82,100,1,4,1,1,0,3,-0.249523118138313,1,1,97,55,58,-1,-1,0,-1,0,-1,1,1,1,0,1,0,0.284503400325775,1,-0.310220301151276,0,-0.48929014718122,-0.408480317649414,-0.496387619267807,0.5,1,-0.413220837014379,-0.374804201368527,TRUE,0.061779976959243
"66673",42591,55,"D","Caucasian",1,0,1,0,1,1,1,1,0,2,1,1,-1,-2,1,0,0,2,100,78,68,80,93,2,0,1,1,1,3,0.509193003177643,3,3,100,77,81,-1,-1,-1,1,1,1,1,1,1,1,1,0,-0.686221420764923,1,0.635246872901917,0,0.826423765375744,0.375440896092899,0.636908555659999,1.5,3,-0.907034542535251,-0.374804201368527,TRUE,0.152775516426287
"66678",51426,48,"N","African American",1,1,0,0,1,1,0,0,0,0,-1,-1,1,0,-2,2,-2,0,69,50,50,50,100,0,5,1,0,0,3,-0.146700754761696,1,2,50,50,50,-1,-1,-2,-2,0,2,1,1,1,1,1,0,-6.6307687118794e-10,1,-1.09427976608276,1,-0.366627819870573,-0.607077627311662,-0.470287006490994,-0.5,1.5,1.01465139797569,-0.374804201368527,TRUE,0.215707981396242
"66679",4929,81,"D","African American",1,1,0,0,1,1,1,1,0,3,2,1,-2,-2,-2,-2,-2,-3,100,0,0,0,80,0,5,1,0,0,3,-1.46521818637848,3,3,50,50,20,-2,-1,0,-2,-1,-1,1,1,1,1,1,0,-0.852451920509338,1,-0.245085120201111,0,-0.380037138102147,-2.20418503402838,-0.989625682469023,2.5,3,-1.37406380726985,-0.816202734445365,TRUE,0.806715348757027
"66682",39417,19,"N","Hispanic",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,50,50,50,50,0,0,1,0,0,0,-0.304703414440155,3,3,50,50,50,-2,-2,1,-2,-2,-1,1,1,1,0,1,0,1.65587842464447,0,-0.648249089717865,1,-0.403844925854803,-0.0845401336505679,-1.02884471516223,0,3,0.547622133241092,-1.30883732249572,FALSE,-0.84247275921633
"66696",44215,43,"R","Hispanic",1,0,0,1,1,1,1,0,1,0,-2,1,-2,-2,1,-2,-2,0,50,50,50,50,100,-1,4,1,1,1,-2,-0.8327357172966,1,1,50,50,5,-2,1,0,0,-2,-2,1,1,1,1,1,0,1.05231785774231,1,-0.8327357172966,0,-0.858690342261281,-0.870290778984972,-0.982945868491884,-1,1,-1.37406380726985,0.169066441655336,TRUE,-0.398926897492888
"66698",56930,57,"D","African American",1,1,0,0,1,1,1,1,0,1,0,1,-2,-2,-1,-2,0,-3,100,0,0,0,100,-2,4,1,1,0,3,-1.50085580348969,-1,2,100,1,30,-2,-2,-2,-1,0,-2,1,1,0,0,1,0,-0.552364230155945,0,-1.50085580348969,0,-1.44742794407022,-1.42366032657963,-1.57911924985467,0.5,0.5,-1.37406380726985,-1.30883732249572,FALSE,-0.203235709446602
"66699",66460,57,"R","Caucasian",1,0,1,0,1,1,1,0,1,3,3,-2,1,0,1,2,2,1,4,50,50,50,50,-1,3,1,1,0,-2,0.579431653022766,3,3,9,84,50,0,1,1,1,2,2,1,1,1,1,1,0,-0.190540015697479,1,0.579431653022766,0,1.49341469268764,1.20673306348783,1.51074198038718,3,3,1.01465139797569,1.05186350780901,TRUE,0.642803183854497
"66716",58897,57,"R","Caucasian",1,0,1,0,1,1,1,0,1,2,2,0,1,0,1,0,1,0,0,50,50,0,50,-1,1,1,1,0,-2,-0.0878911465406418,2,2,0,50,40,1,0,0,0,0,0,1,0,1,0,1,0,1.54867768287659,1,-0.0878911465406418,0,0.0375972197504609,0.432102858024804,-0.0961481004795024,2,2,1.01465139797569,1.0006274528355,TRUE,-0.520178679960213
"66719",53197,58,"D","African American",0,1,0,0,1,1,1,1,0,-3,-3,2,-2,-2,-2,-2,-2,-3,100,2,2,50,100,3,5,1,1,1,3,-1.6779078245163,0,0,100,14,18,-2,-2,0,-2,2,-2,1,1,0,1,1,0,0.184246763586998,1,-1.71890234947205,0,-1.02492387486828,-2.18116061693488,-0.874026392788482,-3,0,-1.37406380726985,-1.30883732249572,FALSE,1.1486135627286
"66722",52042,42,"D","African American",1,1,0,0,1,1,1,1,0,3,3,1,1,0,2,2,2,3,100,90,98,50,95,0,1,1,1,1,3,1.16681754589081,2,3,100,91,50,1,-1,1,1,2,1,1,1,1,1,1,0,-0.247862279415131,1,0.946973264217377,0,1.26781953953972,2.01208034963375,1.35389169213167,3,2.5,1.01465139797569,0.50799286478515,TRUE,-0.131210816695514
"66729",14827,69,"D","Caucasian",0,0,1,0,1,1,1,1,0,3,3,-2,1,1,2,2,1,3,100,100,100,50,100,2,0,1,1,1,3,1.82526803016663,3,3,100,95,50,1,0,2,1,1,2,1,1,1,1,1,0,-0.740223169326782,0,1.82526803016663,0,1.55146457057093,1.77122305095387,1.57244729617016,3,3,1.50846510349656,1.0006274528355,FALSE,-0.195049677812532
"66730",19713,49,"D","African American",1,1,0,0,1,1,0,1,0,-2,0,0,-2,-2,-2,-2,-2,-3,86,0,0,50,100,0,3,1,1,0,2,-1.81893026828766,-2,-2,74,0,50,-2,-2,0,-2,-2,-2,1,1,1,1,1,0,-6.6307687118794e-10,0,-1.81893026828766,0,-2.27302552056634,-2.20418503402838,-1.89177160500332,-1,-2,-1.37406380726985,-1.30883732249572,FALSE,-0.179924792339485
"66731",58555,31,"D","African American",1,1,0,0,0,0,1,1,0,1,3,0,0,0,0,0,0,2,99,50,50,50,50,-2,1,1,0,0,2,0.0201149601489305,2,2,65,84,50,0,-1,1,-1,0,0,1,1,1,1,1,0,-6.6307687118794e-10,1,0.0201149601489305,0,0.270048452791461,-0.0845401336505679,0.173865514391473,2,2,0.547622133241092,0.0665943317083116,TRUE,0.170461549670034
"66732",20620,50,"D","African American",1,1,0,0,1,1,1,1,0,3,3,2,-1,-2,-1,-2,1,-3,89,84,85,50,91,2,4,1,1,1,2,-0.14319184422493,3,3,100,50,50,-2,-2,-1,-1,-1,-2,1,1,1,1,1,0,-0.589337527751923,0,-0.14319184422493,0,-0.521637758733914,-0.181240884332643,-1.16876618479034,3,3,-0.907034542535251,-1.30883732249572,FALSE,-0.752943354532774
"66735",61240,36,"D","African American",1,1,0,0,1,1,1,1,0,2,2,0,-2,-2,0,-2,-2,-3,50,50,50,50,50,-1,4,1,1,1,3,-0.987729370594025,0,2,50,50,50,-2,-2,0,-2,0,-2,1,1,1,1,1,0,1.02930760383606,1,-0.987729370594025,0,-0.844854247966464,-1.12305205488697,-0.988376545761731,2,1,-1.37406380726985,-1.30883732249572,TRUE,-0.0936745455958038
"66741",53469,50,"D","Caucasian",0,0,1,0,1,1,1,1,0,2,2,1,1,-1,1,1,1,3,93,100,50,92,82,1,0,1,1,1,2,1.07989227771759,2,2,50,55,83,1,-1,1,1,1,1,1,1,1,1,1,0,-0.185758695006371,0,1.07989227771759,0,0.7102683049623,0.687477102869628,0.801269814034694,2,2,0.520837692454819,0.50799286478515,FALSE,0.0404229093958417
"66743",54301,56,"D","Caucasian",1,0,1,0,1,1,1,1,0,2,2,0,0,-1,1,1,1,2,57,62,50,50,100,1,1,1,1,0,1,0.568923473358154,3,3,75,84,82,2,-1,1,2,2,2,1,1,1,1,1,0,-0.0752499848604202,1,1.10899114608765,0,1.65695403162985,0.687477102869628,1.73578132937885,2,3,0.0538084277202204,0.949391397861989,TRUE,0.96620654457662
"66744",57858,55,"D","African American",0,1,0,0,1,1,1,1,0,1,1,1,-1,0,1,1,0,1,88,71,71,62,71,0,1,1,1,0,3,0.290847271680832,3,2,90,80,80,-1,-1,1,1,0,0,1,0,0,0,1,0,0.321109890937805,0,0.290847271680832,0,0.682883111258999,0.665351766577969,0.587244449292554,1,2.5,0.0805928685064935,-0.374804201368527,FALSE,0.286120869572463
"66745",43826,27,"D","Caucasian",1,0,1,0,0,0,0,1,0,2,-2,-1,-1,-2,-1,-1,-1,-1,58,54,18,30,93,0,2,1,1,0,2,-0.626731395721436,2,1,53,32,41,-2,-2,1,-1,-1,-1,1,1,1,1,1,0,0.974982619285583,0,-0.626731395721436,0,-0.568732467721957,-1.22494804366671,-0.746630289683945,0,1.5,-0.907034542535251,-1.30883732249572,FALSE,0.0124012737146648
"66747",40970,38,"N","Hispanic",1,0,0,1,1,1,0,0,0,2,0,2,-2,-2,0,0,0,0,70,50,50,80,80,0,2,1,0,0,2,-0.468142867088318,3,0,82,50,82,-2,-2,0,-2,0,0,1,1,1,1,1,0,0.55418062210083,1,-0.475218236446381,1,-0.419698379498732,-0.0845401336505679,-0.546226798462832,1,1.5,-1.37406380726985,-1.30883732249572,FALSE,-0.153619178340446
"66748",48724,43,"D","African American",1,1,0,0,1,1,0,1,0,2,0,0,0,0,0,0,0,-3,50,50,50,50,50,0,3,1,1,0,3,-0.327333718538284,3,3,100,100,50,1,1,1,0,0,1,1,1,1,1,1,0,-6.6307687118794e-10,1,-0.928533852100372,0,0.953209545028137,-0.0845401336505679,0.76677878936158,1,3,0.547622133241092,1.49326204088585,TRUE,1.17013735904701
"66753",20360,23,"D","African American",0,1,0,0,1,1,1,1,0,0,0,2,-2,2,-2,-2,-2,-3,100,0,0,100,100,0,3,1,1,0,2,-1.37868058681488,0,0,100,50,100,-1,-1,-1,-1,-1,-1,1,1,1,1,1,0,-0.801603555679321,0,-1.37868058681488,0,-1.07464997034378,-2.20418503402838,-0.947691311140889,0,0,0.601191014813639,-0.374804201368527,FALSE,0.696294703254345
"66758",15205,37,"D","African American",1,1,0,0,1,1,1,1,0,3,0,2,-2,-2,2,-2,-2,-2,50,50,50,50,50,2,5,1,1,1,2,-0.869164705276489,3,3,50,50,50,-2,-1,0,-1,-1,-2,1,1,1,1,1,0,-0.00491436617448926,0,-1.06415104866028,0,-0.378661789625453,-0.617529503082976,-0.985661207126807,1.5,3,-1.37406380726985,-0.816202734445365,FALSE,-0.07935347477107
"66760",3750,77,"D","African American",1,1,0,0,1,1,1,1,0,3,0,-2,-2,-1,2,-2,-2,-3,100,0,0,0,100,0,4,1,0,0,3,-1.37921810150146,0,0,100,50,3,-1,-1,-1,-1,-1,-1,1,1,1,1,1,0,0.624247252941132,1,-0.250513672828674,0,-1.07464997034378,-1.1931399304204,-0.947691311140889,1.5,0,-0.880250101748978,-0.374804201368527,TRUE,0.10403860552994
"66761",52246,62,"D","African American",0,1,0,0,1,1,1,1,0,-1,1,2,-2,-1,0,-2,0,-3,100,50,50,100,100,-2,3,1,1,0,3,-0.907639563083649,2,2,100,63,50,-2,-1,0,-1,1,1,1,1,1,1,1,0,0.334924310445786,1,-0.907639563083649,0,0.299746505704642,-0.595288623340217,0.24148566455233,0,2,-0.880250101748978,-0.816202734445365,TRUE,0.976959983389227
"66762",23616,75,"D","African American",1,1,0,0,1,1,1,1,0,1,1,1,-2,-1,-1,-1,-1,-2,100,50,50,39,100,0,5,1,1,0,2,-0.56540322303772,-1,1,100,36,36,-2,-2,-2,-2,-1,-2,1,1,0,1,1,0,-0.754516184329987,0,-0.56540322303772,0,-1.64016449393963,-0.856557370170764,-1.7053596822334,1,0,-0.880250101748978,-1.30883732249572,FALSE,-0.868113984493929
"66763",25772,56,"D","African American",1,1,0,0,1,1,1,1,0,0,0,1,-2,-1,-2,-2,1,-2,100,100,37,18,100,-1,4,1,1,1,3,-0.275572776794434,0,1,50,50,50,-1,0,-2,-1,0,0,1,1,1,1,1,0,-0.368482023477554,0,-0.275572776794434,0,-0.765808529217865,-0.986588170478563,-0.687397404798228,0,0.5,-0.880250101748978,0.117830386681824,FALSE,0.138746200665075
"66765",43204,26,"D","African American",0,1,0,0,0,1,0,1,0,-3,-1,1,-1,-1,-1,-1,-1,0,100,7,0,100,100,0,5,1,1,1,3,-1.09311497211456,0,0,50,12,10,-2,-2,0,-2,0,-2,1,1,1,1,1,0,-0.282581716775894,1,-1.09311497211456,0,-1.37337460052432,-1.43216779750818,-1.33702429504309,-2,0,-0.413220837014379,-1.30883732249572,TRUE,-0.172283296866627
"66766",40662,21,"D","African American",0,1,0,0,0,1,0,1,0,0,1,1,-1,-1,0,0,-1,-2,80,30,30,78,75,0,2,1,1,1,3,-0.624701321125031,2,0,50,30,75,-1,-1,0,0,0,-1,1,0,0,0,1,0,0.159783229231834,1,-0.624701321125031,0,-0.519138215868635,-0.578666020358912,-0.500721789540193,0.5,1,-0.413220837014379,-0.374804201368527,TRUE,0.138776065519569
"66767",14022,30,"D","African American",0,1,0,0,0,1,1,1,0,3,2,-1,2,1,1,2,-2,1,100,70,61,32,100,-2,3,1,1,0,-3,0.8402059674263,2,2,100,78,50,-1,-2,2,2,1,1,1,1,0,0,1,0,-0.281117022037506,1,0.8402059674263,0,1.18794055025178,0.277840494408559,1.42043777841282,2.5,2,1.97549436823116,-0.867438789418877,TRUE,1.05515374197317
"66771",4587,18,"D","African American",1,1,0,0,0,0,0,1,0,2,3,-1,1,-1,2,2,2,3,100,100,100,85,100,0,0,1,1,1,2,1.56373536586761,3,3,100,100,50,2,-1,2,2,2,2,1,1,1,1,1,0,0.361088037490845,0,1.59372556209564,0,1.91899569620879,2.03510476672724,2.06568535937137,2.5,3,0.520837692454819,0.949391397861989,FALSE,0.428347283169069
"66772",2155,42,"D","Hispanic",1,0,0,1,0,1,0,1,0,2,3,-2,2,0,2,2,2,3,100,100,100,60,100,0,0,1,1,0,2,1.62371575832367,3,3,100,100,50,2,-2,2,2,2,2,1,1,1,1,1,0,-0.375445425510406,0,1.59372556209564,0,1.91899569620879,2.03510476672724,2.06568535937137,2.5,3,1.48168066271029,0.456756809811638,FALSE,0.0846042104951177
"66776",31717,72,"D","African American",0,1,0,0,1,1,1,1,0,0,2,-1,-1,-1,1,-2,-1,1,100,50,50,50,100,2,4,1,1,0,3,-0.38123220205307,2,2,100,53,50,-1,0,0,-1,-1,1,1,1,1,1,1,0,-0.36784091591835,0,-0.374850511550903,0,-0.108237067686636,-0.606409063211597,-0.294911763866773,1,2,-0.413220837014379,0.117830386681824,FALSE,0.0943636376596562
"66780",33410,66,"D","African American",1,1,0,0,1,1,1,1,0,3,3,2,0,0,-1,0,0,0,100,46,48,50,89,-1,5,1,1,1,3,0.0598511844873428,3,2,50,34,34,0,0,-1,0,0,0,1,1,1,1,1,0,-0.686514675617218,0,0.0598511844873428,0,-0.10892204037775,-0.360325826646061,-0.426052130472025,3,2.5,0.547622133241092,0.559228919758662,FALSE,-0.233386485179536
